participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
7,1,0,1.685,506.00,322.00,1,1,1
7,1,0,2.686,776.00,594.00,3,1,3
7,1,0,3.445,773.00,773.00,3,0,0
7,1,0,4.344,565.00,907.00,3,1,3
7,1,0,5.086,443.00,845.00,3,1,3
7,1,0,5.944,396.00,932.00,3,1,3
7,1,0,6.753,771.00,751.00,3,1,3
7,1,0,7.870,1336.00,1015.00,4,1,4
7,1,0,9.745,1660.00,271.00,2,0,0
7,1,1,1.490,195.00,141.00,1,1,1
7,1,1,1.839,234.00,142.00,1,0,0
7,1,1,2.698,93.00,71.00,1,1,1
7,1,1,3.356,230.00,126.00,1,1,1
7,1,1,4.048,305.00,60.00,1,1,1
7,1,1,5.090,377.00,218.00,1,0,0
7,1,1,5.823,439.00,276.00,1,1,1
7,1,1,6.557,387.00,239.00,1,1,1
7,1,1,6.999,446.00,191.00,1,0,0
7,1,1,7.349,467.00,191.00,1,1,1
7,1,1,7.799,499.00,218.00,1,0,0
7,1,1,8.540,522.00,252.00,1,0,0
7,1,1,9.332,420.00,394.00,1,0,0
7,1,1,9.732,410.00,412.00,1,1,1
7,1,1,10.191,438.00,428.00,1,1,1
7,1,1,10.882,310.00,440.00,1,1,1
7,1,1,11.416,305.00,523.00,1,1,1
7,1,1,11.899,159.00,465.00,1,0,0
7,1,1,12.408,110.00,447.00,1,0,0
7,1,1,13.391,143.00,450.00,1,1,1
7,1,1,14.133,256.00,341.00,1,1,1
7,1,1,14.733,342.00,323.00,1,0,0
7,1,1,15.241,347.00,323.00,1,1,1
7,1,1,16.108,342.00,590.00,3,1,3
7,1,1,17.017,144.00,587.00,3,1,3
7,1,1,17.517,123.00,643.00,3,1,3
7,1,1,18.351,169.00,747.00,3,1,3
7,1,1,19.367,228.00,893.00,3,1,3
7,1,1,20.092,297.00,817.00,3,0,0
7,1,1,20.801,408.00,821.00,3,1,3
7,1,1,21.442,443.00,779.00,3,1,3
7,1,1,21.884,432.00,715.00,3,0,0
7,1,1,22.660,440.00,712.00,3,1,3
7,1,1,23.234,479.00,674.00,3,1,3
7,1,1,23.718,482.00,606.00,3,1,3
7,1,1,24.518,598.00,624.00,3,1,3
7,1,1,25.435,593.00,710.00,3,1,3
7,1,1,26.135,535.00,801.00,3,1,3
7,1,1,26.818,570.00,856.00,3,1,3
7,1,1,27.527,676.00,851.00,3,1,3
7,1,1,28.444,782.00,760.00,3,1,3
7,1,1,29.485,732.00,680.00,3,0,0
7,1,1,29.852,748.00,683.00,3,1,3
7,1,2,1.067,688.00,428.00,1,1,1
7,1,2,1.917,804.00,188.00,1,0,0
7,1,2,2.442,789.00,205.00,1,1,1
7,1,2,2.950,835.00,188.00,1,1,1
7,1,2,3.359,893.00,182.00,1,1,1
7,1,2,3.967,894.00,121.00,1,1,1
7,1,2,4.676,921.00,255.00,1,1,1
7,1,2,5.084,923.00,324.00,1,1,1
7,1,2,5.492,1020.00,285.00,2,0,0
7,1,2,5.992,1014.00,291.00,2,1,2
7,1,2,6.384,999.00,199.00,2,1,2
7,1,2,6.767,1063.00,117.00,2,0,0
7,1,2,7.109,1059.00,117.00,2,1,2
7,1,2,7.468,1087.00,117.00,2,1,2
7,1,2,8.176,1262.00,262.00,2,0,0
7,1,2,8.768,1259.00,282.00,2,0,0
7,1,2,9.143,1241.00,271.00,2,1,2
7,1,2,9.676,1260.00,356.00,2,1,2
7,1,2,10.218,1292.00,355.00,2,0,0
7,1,2,10.543,1309.00,351.00,2,1,2
7,1,2,10.843,1247.00,409.00,2,0,0
7,1,2,11.393,1244.00,397.00,2,1,2
7,1,2,12.302,1134.00,377.00,2,1,2
7,1,2,13.118,1191.00,476.00,2,1,2
7,1,2,13.802,1170.00,508.00,2,1,2
7,1,2,14.410,1219.00,525.00,2,0,0
7,1,2,14.827,1221.00,530.00,2,1,4
